"Table S12: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,
"name","longitude","latitude","catalogNumber","stateProvince","pop","locality","elevation"
"Hemitriccus obsoletus",-45.588619,-22.70355,"OBS324148884","São Paulo","north","Campos do Jordão--Pico do Imbiri",1658.77
"Lepidocolaptes falcinellus",-45.588619,-22.70355,"OBS363316103","São Paulo","north","Campos do Jordão--Pico do Imbiri",1651.39
"Mackenziaena leachii",-45.588619,-22.70355,"OBS363316065","São Paulo","north","Campos do Jordão--Pico do Imbiri",1621.54
"Microspingus lateralis",-45.588619,-22.70355,"OBS324141706","São Paulo","north","Campos do Jordão--Pico do Imbiri",1664.02
"Phylloscartes difficilis",-45.588619,-22.70355,"OBS324141702","São Paulo","north","Campos do Jordão--Pico do Imbiri",1658.77
"Piprites pileata",-45.588619,-22.70355,"OBS324148908","São Paulo","north","Campos do Jordão--Pico do Imbiri",1601.11
"Saltator maxillosus",-45.588619,-22.70355,"OBS324141715","São Paulo","north","Campos do Jordão--Pico do Imbiri",1601.11
"Stephanoxis lalandi",-45.588619,-22.70355,"OBS346172278","São Paulo","north","Campos do Jordão -- Pico do Imbiri",1658.77
"Tangara desmaresti",-45.588619,-22.70355,"OBS324151616","São Paulo","north","Campos do Jordão--Pico do Imbiri",1658.77
"Chamaeza ruficauda",-45.589167,-22.704444,"OBS100659120","São Paulo","north","Campos do Jordao",1601.11
"Elaenia mesoleuca",-45.589167,-22.704444,"OBS100659124","São Paulo","north","Campos do Jordao",1625.59
"Lepidocolaptes falcinellus",-45.589167,-22.704444,"OBS100659117","São Paulo","north","Campos do Jordao",1651.39
"Microspingus lateralis",-45.589167,-22.704444,"OBS100659150","São Paulo","north","Campos do Jordao",1664.02
"Stephanoxis lalandi",-45.589167,-22.704444,"OBS100659104","São Paulo","north","Campos do Jordao",1658.77
"Chamaeza ruficauda",-45.58279,-22.70482,"OBS180826326","São Paulo","north","Campos back road.",1601.11
"Heliobletus contaminatus",-45.58279,-22.70482,"OBS180826322","São Paulo","north","Campos back road.",1621.54
"Hemitriccus obsoletus",-45.58279,-22.70482,"OBS180748227","São Paulo","north","Campos back road.",1658.77
"Microspingus lateralis",-45.58279,-22.70482,"OBS180826337","São Paulo","north","Campos back road.",1649.81
"Phylloscartes difficilis",-45.58279,-22.70482,"OBS180794540","São Paulo","north","Campos back road.",1658.77
"Piprites pileata",-45.58279,-22.70482,"OBS180748249","São Paulo","north","Campos back road.",1601.11
"Saltator maxillosus",-45.58279,-22.70482,"OBS180826340","São Paulo","north","Campos back road.",1601.11
"Mackenziaena leachii",-45.469269,-22.709674,"OBS374312381","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,71x-45,469",1877.54
"Stephanophorus diadematus",-45.469269,-22.709674,"OBS374312390","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,71x-45,469",1832.74
"Chamaeza ruficauda",-45.469263,-22.709808,"OBS363351282","São Paulo","north","Horta road 1",1856.05
"Hemitriccus obsoletus",-45.469263,-22.709808,"OBS363351279","São Paulo","north","Horta road 1",1869.85
"Muscipipra vetula",-45.469263,-22.709808,"OBS363351284","São Paulo","north","Horta road 1",1840.83
"Heliobletus contaminatus",-45.47,-22.71,"OBS106696127","São Paulo","north","Campos do Jordao, crest of hill road e. from Horto Forestal",1745.97
"Muscipipra vetula",-45.47,-22.71,"OBS106696118","São Paulo","north","Campos do Jordao, crest of hill road e. from Horto Forestal",1840.83
"Phylloscartes difficilis",-45.47,-22.71,"OBS106696129","São Paulo","north","Campos do Jordao, crest of hill road e. from Horto Forestal",1774.74
"Dysithamnus xanthopterus",-45.469478,-22.710709,"OBS374314051","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1856.05
"Phylloscartes ventralis",-45.469478,-22.710709,"OBS374314050","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1806.25
"Piprites pileata",-45.469478,-22.710709,"OBS374314054","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1856.05
"Saltator maxillosus",-45.469478,-22.710709,"OBS374314038","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1856.05
"Syndactyla rufosuperciliata",-45.469478,-22.710709,"OBS372979039","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1806.25
"Tangara desmaresti",-45.469478,-22.710709,"OBS372979049","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469 - 13/02/2016 9:21 AM",1869.85
"Chamaeza ruficauda",-45.469465,-22.71076,"OBS372714688","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469",1856.05
"Syndactyla rufosuperciliata",-45.469465,-22.71076,"OBS372714691","São Paulo","north","BR-São Paulo-Campos do Jordão-Unnamed Rd - -22,711x-45,469",1806.25
"Microspingus lateralis",-45.469859,-22.711431,"OBS456173194","São Paulo","north","PE Campos do Jordão",1840.83
"Microspingus lateralis",-45.571761,-22.711906,"OBS99734621","São Paulo","north","Campos do Jordão",1649.81
"Lepidocolaptes falcinellus",-45.54941,-22.71329,"OBS326467843","São Paulo","north","Rua projetada",1622.13
"Microspingus lateralis",-45.54941,-22.71329,"OBS326467672","São Paulo","north","Gato Gordo",1637.4
"Microspingus lateralis",-45.554885,-22.71345,4584232,"São Paulo","north","NA",1637.4
"Chamaeza ruficauda",-45.5524,-22.71385,"OBS326465413","São Paulo","north","Pico do Imbiri",1642.73
"Heliobletus contaminatus",-45.5524,-22.71385,"OBS326465552","São Paulo","north","Bosque do silêncio",1663.68
"Hemitriccus obsoletus",-45.5524,-22.71385,"OBS326465291","São Paulo","north","estrada de terra pt. 1 CJ",1634.17
"Microspingus lateralis",-45.5524,-22.71385,"OBS326465426","São Paulo","north","Pico do Imbiri",1637.4
"Muscipipra vetula",-45.5524,-22.71385,"OBS326465294","São Paulo","north","estrada de terra pt. 1 CJ",1637.4
"Phylloscartes difficilis",-45.5524,-22.71385,"OBS326465530","São Paulo","north","Brejo CJ2",1634.17
"Piculus aurulentus",-45.5524,-22.71385,"OBS326465522","São Paulo","north","Brejo CJ2",1663.68
"Piprites pileata",-45.5524,-22.71385,"OBS326465296","São Paulo","north","estrada de terra pt. 1 CJ",1642.73
"Saltator maxillosus",-45.5524,-22.71385,"OBS326465308","São Paulo","north","estrada de terra pt. 1 CJ",1642.73
"Stephanoxis lalandi",-45.5524,-22.71385,"OBS326465486","São Paulo","north","Bosque do silêncio",1634.17
"Tangara desmaresti",-45.5524,-22.71385,"OBS326465503","São Paulo","north","Bosque do silêncio",1634.17
"Piculus aurulentus",-45.448508,-22.716261,"OBS456172458","São Paulo","north","PE Campos do Jordão",1822.28
"Piprites pileata",-45.448508,-22.716261,"OBS456172455","São Paulo","north","PE Campos do Jordão",1856.05
"Chamaeza ruficauda",-45.6001,-22.7167,"XC80414","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1663.64
"Dysithamnus xanthopterus",-45.6001,-22.7167,"XC78511","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1663.64
"Elaenia mesoleuca",-45.6001,-22.7167,"XC81539","NA","north","Campos do Jordão, SP",1683.44
"Hemitriccus obsoletus",-45.6001,-22.7167,"XC325894","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1658.77
"Mackenziaena leachii",-45.6001,-22.7167,"XC80084","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1675.54
"Phylloscartes difficilis",-45.6001,-22.7167,"XC81651","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1658.77
"Piprites pileata",-45.6001,-22.7167,"XC81686","NA","north","Road to Pedra do Baú, Campos do Jordão, SP",1663.64
"Chamaeza ruficauda",-44.619593,-22.717306,"OBS322313654","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1580.2
"Drymophila rubricollis",-44.619593,-22.717306,"OBS322313614","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1566.23
"Dysithamnus xanthopterus",-44.619593,-22.717306,"OBS322870150","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1580.2
"Heliobletus contaminatus",-44.619593,-22.717306,"OBS322313607","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1614.37
"Hemitriccus obsoletus",-44.619593,-22.717306,"OBS322313601","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1566.23
"Mackenziaena leachii",-44.619593,-22.717306,"OBS322870179","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1614.37
"Microspingus lateralis",-44.619593,-22.717306,"OBS322657241","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1605.98
"Muscipipra vetula",-44.619593,-22.717306,"OBS322870005","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1605.98
"Phylloscartes difficilis",-44.619593,-22.717306,"OBS322654535","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1566.23
"Piculus aurulentus",-44.619593,-22.717306,"OBS322870038","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1614.37
"Piprites pileata",-44.619593,-22.717306,"OBS322313646","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1580.2
"Saltator maxillosus",-44.619593,-22.717306,"OBS322313637","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1580.2
"Stephanoxis lalandi",-44.619593,-22.717306,"OBS322657253","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1566.23
"Synallaxis cinerascens",-44.619593,-22.717306,"OBS322654493","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1605.98
"Tangara desmaresti",-44.619593,-22.717306,"OBS322657255","São Paulo","north","São José do Barreiro -- Pousada Campos da Bocaina",1566.23
"Heliobletus contaminatus",-45.570192,-22.717554,"OBS453104952","São Paulo","north","Campos do Jordao Parque",1662.17
"Microspingus lateralis",-45.570192,-22.717554,"OBS453104951","São Paulo","north","Campos do Jordao Parque",1649.81
"Piculus aurulentus",-45.570192,-22.717554,"OBS453104926","São Paulo","north","Campos do Jordao Parque",1662.17
"Stephanophorus diadematus",-45.41457,-22.717564,"OBS429869767","São Paulo","north","Guaratinguetá -- Estrada Gomeral - Pedrinhas",1663.03
"Heliobletus contaminatus",-45.564343,-22.718841,"OBS402812486","São Paulo","north","Centro de Capivari",1662.17
"Microspingus lateralis",-45.564343,-22.718841,"OBS402812483","São Paulo","north","Centro de Capivari",1637.4
"Lepidocolaptes falcinellus",-45.572,-22.719,"OBS98952864","São Paulo","north","Near Parque Hotel, Campos do Jordeo",1677.71
"Microspingus lateralis",-45.572,-22.719,"OBS98952866","São Paulo","north","Near Parque Hotel, Campos do Jordeo",1649.81
"Microspingus lateralis",-45.63,-22.72,"OBS106696099","São Paulo","north","Campos do Jordao, Pousada Palacio Monterei",1592.1
"Microspingus lateralis",-45.598042,-22.72095,"OBS102938723","São Paulo","north","Pousada near Campos do Jordao",1664.02
"Microspingus lateralis",-45.592232,-22.721605,"OBS99734510","São Paulo","north","Campos do Jordão, Lago Azul",1664.02
"Cacicus chrysopterus",-45.627318,-22.721925,"OBS376055520","São Paulo","north","Pousada Recanto São Benedito, Campos do Jordão",1617.91
"Microspingus lateralis",-45.627318,-22.721925,"OBS376055515","São Paulo","north","Pousada Recanto São Benedito, Campos do Jordão",1592.1
"Stephanophorus diadematus",-45.627318,-22.721925,"OBS377097547","São Paulo","north","Pousada Recanto São Benedito, Campos do Jordão",1605.44
"Stephanoxis lalandi",-45.627318,-22.721925,"OBS377097570","São Paulo","north","Pousada Recanto São Benedito, Campos do Jordão",1487.08
"Tangara desmaresti",-45.627318,-22.721925,"OBS377097549","São Paulo","north","Pousada Recanto São Benedito, Campos do Jordão",1487.08
"Microspingus lateralis",-45.576868,-22.722139,"OBS98978153","São Paulo","north","Grande Hotel CDJ",1649.81
"Microspingus lateralis",-45.57513,-22.722555,"OBS97927207","São Paulo","north","Campos do Jordao main drag",1649.81
"Stephanophorus diadematus",-45.575055,-22.723347,"OBS499725432","São Paulo","north","Avenida Emílio Ribas",1665.04
"Chamaeza ruficauda",-45.631826,-22.723584,"OBS98023048","São Paulo","north","Pousada Palácio Monterei",1487.34
"Microspingus lateralis",-45.631826,-22.723584,"OBS98456485","São Paulo","north","Pousada Palácio Monterei",1625.63
"Saltator maxillosus",-45.631826,-22.723584,"OBS97846489","São Paulo","north","Pousada Palácio Monterei",1487.34
"Tangara desmaresti",-45.5775,-22.724444,"OBS347472566","São Paulo","north","Campos do Jordão",1678.95
"Microspingus lateralis",-45.569554,-22.725192,"OBS294436577","São Paulo","north","AFPESP Campos do Jordão",1672.67
"Microspingus lateralis",-45.583219,-22.728562,"OBS98720434","São Paulo","north","CDJ - Hotel Shallon area",1672.67
"Microspingus lateralis",-45.595154,-22.728637,"OBS373159601","São Paulo","north","Campos do Jordão ",1690.37
"Microspingus lateralis",-45.617818,-22.73123,"OBS164623876","São Paulo","north","Tres Pineihros",1625.63
"Stephanoxis lalandi",-45.617818,-22.73123,"OBS164623875","São Paulo","north","Tres Pineihros",1659.82
"Chamaeza ruficauda",-45.617445,-22.731618,"OBS453167557","São Paulo","north","Campos do Jordão-Alto Boa Vista-Posada Tres Pinheiros",1659.79
"Microspingus lateralis",-45.617445,-22.731618,"OBS453167561","São Paulo","north","Campos do Jordão-Alto Boa Vista-Posada Tres Pinheiros",1625.63
"Stephanoxis lalandi",-45.617445,-22.731618,"OBS453167571","São Paulo","north","Campos do Jordão-Alto Boa Vista-Posada Tres Pinheiros",1659.82
"Chamaeza ruficauda",-45.617573,-22.731639,"OBS180824056","São Paulo","north","Pousada 3 Pinheiros",1659.79
"Elaenia mesoleuca",-45.617573,-22.731639,"OBS180801677","São Paulo","north","Pousada 3 Pinheiros",1632.55
"Hemitriccus obsoletus",-45.617573,-22.731639,"OBS180834215","São Paulo","north","Pousada 3 Pinheiros",1659.82
"Mackenziaena leachii",-45.617573,-22.731639,"OBS180834207","São Paulo","north","Pousada 3 Pinheiros",1659.67
"Microspingus lateralis",-45.617573,-22.731639,"OBS180841512","São Paulo","north","Pousada 3 Pinheiros",1625.63
"Piculus aurulentus",-45.617573,-22.731639,"OBS180801687","São Paulo","north","Pousada 3 Pinheiros",1659.67
"Saltator maxillosus",-45.617573,-22.731639,"OBS180823088","São Paulo","north","Pousada 3 Pinheiros",1659.79
"Stephanoxis lalandi",-45.617573,-22.731639,"OBS180841506","São Paulo","north","Pousada 3 Pinheiros",1659.82
"Synallaxis cinerascens",-45.617573,-22.731639,"OBS180834206","São Paulo","north","Pousada 3 Pinheiros",1625.63
"Chamaeza ruficauda",-45.617884,-22.731778,"OBS457223401","São Paulo","north","Pousada 3 Pinheiros",1659.79
"Stephanoxis lalandi",-45.617884,-22.731778,"OBS456174312","São Paulo","north","Pousada 3 Pinheiros",1659.82
"Heliobletus contaminatus",-45.570482,-22.732693,"OBS402826451","São Paulo","north","Bosque do Silêncio",1680.37
"Microspingus lateralis",-45.570482,-22.732693,"OBS402826442","São Paulo","north","Bosque do Silêncio",1672.67
"Phylloscartes ventralis",-45.570482,-22.732693,"OBS402826459","São Paulo","north","Bosque do Silêncio",1668.14
"Stephanophorus diadematus",-45.570482,-22.732693,"OBS402826453","São Paulo","north","Bosque do Silêncio",1668.14
"Syndactyla rufosuperciliata",-45.570482,-22.732693,"OBS402826452","São Paulo","north","Bosque do Silêncio",1668.14
"Tangara desmaresti",-45.570482,-22.732693,"OBS402826458","São Paulo","north","Bosque do Silêncio",1678.95
"Heliobletus contaminatus",-45.571622,-22.733124,"OBS363327869","São Paulo","north","Parque Campos do Jordao",1680.37
"Microspingus lateralis",-45.571622,-22.733124,"OBS363327870","São Paulo","north","Parque Campos do Jordao",1672.67
"Stephanoxis lalandi",-45.571622,-22.733124,"OBS363327881","São Paulo","north","Parque Campos do Jordao",1678.95
"Microspingus lateralis",-44.652557,-22.735657,"OBS97678705","São Paulo","north","PN Bocaina",1618.1
"Muscipipra vetula",-44.652557,-22.735657,"OBS97678793","São Paulo","north","PN Bocaina",1618.1
"Saltator maxillosus",-44.652557,-22.735657,"OBS97678703","São Paulo","north","PN Bocaina",1638.3
"Chamaeza ruficauda",-44.614899,-22.736117,"OBS322870069","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1632.24
"Drymophila rubricollis",-44.614899,-22.736117,"OBS389457218","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1635.06
"Dysithamnus xanthopterus",-44.614899,-22.736117,"OBS389461298","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1632.24
"Elaenia mesoleuca",-44.614899,-22.736117,"OBS389461319","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1586.35
"Heliobletus contaminatus",-44.614899,-22.736117,"OBS322299692","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1618.03
"Hemitriccus obsoletus",-44.614899,-22.736117,"OBS389451761","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1635.06
"Mackenziaena leachii",-44.614899,-22.736117,"OBS389461321","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1618.03
"Microspingus lateralis",-44.614899,-22.736117,"OBS322870053","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1630.84
"Muscipipra vetula",-44.614899,-22.736117,"OBS389451803","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1630.84
"Phylloscartes difficilis",-44.614899,-22.736117,"OBS322299696","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1635.06
"Stephanoxis lalandi",-44.614899,-22.736117,"OBS389457220","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1635.06
"Tangara desmaresti",-44.614899,-22.736117,"OBS322299688","São Paulo","north","São José do Barreiro--PN Serra da Bocaina",1635.06
"Piculus aurulentus",-44.6149,-22.73612,"OBS360719541","São Paulo","north","Parque Nacional Serra da Bocaina, S. J. do Barreiro",1618.03
"Microspingus lateralis",-45.61286,-22.736349,"OBS418551144","São Paulo","north","Palácio, Alto da Boa Vista, Campos do Jordão",1625.63
"Chamaeza ruficauda",-45.512924,-22.736846,"OBS354495762","São Paulo","north","Parque Estadual Campos do Jordão",1715.31
"Elaenia mesoleuca",-45.512924,-22.736846,"OBS348561978","São Paulo","north","Parque Estadual Campos do Jordão",1763
"Heliobletus contaminatus",-45.512924,-22.736846,"OBS393583632","São Paulo","north","Parque Estadual Campos do Jordão",1705.87
"Microspingus lateralis",-45.512924,-22.736846,"OBS348561962","São Paulo","north","Parque Estadual Campos do Jordão",1748.49
"Phylloscartes difficilis",-45.512924,-22.736846,"OBS347395783","São Paulo","north","Parque Estadual Campos do Jordão",1717.18
"Piculus aurulentus",-45.512924,-22.736846,"OBS355469594","São Paulo","north","Parque Estadual Campos do Jordão",1705.87
"Piprites pileata",-45.512924,-22.736846,"OBS459216844","São Paulo","north","Parque Estadual Campos do Jordão",1715.31
"Saltator maxillosus",-45.512924,-22.736846,"OBS347395711","São Paulo","north","Parque Estadual Campos do Jordão",1715.31
"Stephanophorus diadematus",-45.512924,-22.736846,"OBS532757891","São Paulo","north","Parque Estadual Campos do Jordão",1763
"Stephanoxis lalandi",-45.512924,-22.736846,"OBS354495788","São Paulo","north","Parque Estadual Campos do Jordão",1717.18
"Cacicus chrysopterus",-45.589828,-22.73724,"OBS371482461","São Paulo","north","Campos do Jordão--área geral",1674.57
"Chamaeza ruficauda",-45.589828,-22.73724,"OBS371482483","São Paulo","north","Campos do Jordão--área geral",1678.56
"Chamaeza ruficauda",-45.58983,-22.73724,"OBS337976915","São Paulo","north","Campos do Jordao",1678.56
"Dysithamnus xanthopterus",-45.589828,-22.73724,"OBS371482488","São Paulo","north","Campos do Jordão--área geral",1678.56
"Dysithamnus xanthopterus",-45.58983,-22.73724,"OBS337976914","São Paulo","north","Campos do Jordao",1678.56
"Elaenia mesoleuca",-45.589828,-22.73724,"OBS371482447","São Paulo","north","Campos do Jordão--área geral",1682.36
"Heliobletus contaminatus",-45.589828,-22.73724,"OBS385157082","São Paulo","north","Campos do Jordão--área geral",1671.7
"Heliobletus contaminatus",-45.58983,-22.73724,"OBS337976918","São Paulo","north","Campos do Jordao",1671.7
"Hemitriccus obsoletus",-45.589828,-22.73724,"OBS385157146","São Paulo","north","Campos do Jordão--área geral",1679.92
"Lepidocolaptes falcinellus",-45.589828,-22.73724,"OBS374676065","São Paulo","north","Campos do Jordão--área geral",1674.57
"Lepidocolaptes falcinellus",-45.58983,-22.73724,"OBS337976917","São Paulo","north","Campos do Jordao",1674.57
"Mackenziaena leachii",-45.589828,-22.73724,"OBS411737466","São Paulo","north","Campos do Jordão--área geral",1671.7
"Microspingus lateralis",-45.589828,-22.73724,"OBS371482480","São Paulo","north","Campos do Jordão--área geral",1690.37
"Microspingus lateralis",-45.58983,-22.73724,"OBS337976938","São Paulo","north","Campos do Jordao",1690.37
"Muscipipra vetula",-45.589828,-22.73724,"OBS371482475","São Paulo","north","Campos do Jordão--área geral",1690.37
"Phylloscartes difficilis",-45.589828,-22.73724,"OBS385157148","São Paulo","north","Campos do Jordão--área geral",1679.92
"Phylloscartes difficilis",-45.58983,-22.73724,"OBS337976924","São Paulo","north","Campos do Jordao",1679.92
"Phylloscartes ventralis",-45.589828,-22.73724,"OBS371482491","São Paulo","north","Campos do Jordão--área geral",1682.36
"Piculus aurulentus",-45.589828,-22.73724,"OBS385157134","São Paulo","north","Campos do Jordão--área geral",1671.7
"Piprites pileata",-45.589828,-22.73724,"OBS371482484","São Paulo","north","Campos do Jordão--área geral",1678.56
"Piprites pileata",-45.58983,-22.73724,"OBS337976927","São Paulo","north","Campos do Jordao",1678.56
"Saltator maxillosus",-45.589828,-22.73724,"OBS371482463","São Paulo","north","Campos do Jordão--área geral",1678.56
"Stephanophorus diadematus",-45.589828,-22.73724,"OBS371482458","São Paulo","north","Campos do Jordão--área geral",1682.36
"Stephanoxis lalandi",-45.589828,-22.73724,"OBS371482440","São Paulo","north","Campos do Jordão--área geral",1679.92
"Stephanoxis lalandi",-45.58983,-22.73724,"OBS337982202","São Paulo","north","Campos do Jordao",1679.92
"Synallaxis cinerascens",-45.589828,-22.73724,"OBS367872229","São Paulo","north","Campos do Jordão--área geral",1690.37
"Syndactyla rufosuperciliata",-45.589828,-22.73724,"OBS388055107","São Paulo","north","Campos do Jordao",1682.36
"Tangara desmaresti",-45.589828,-22.73724,"OBS371482470","São Paulo","north","Campos do Jordão--área geral",1679.92
"Tangara desmaresti",-45.58983,-22.73724,"OBS337976937","São Paulo","north","Campos do Jordao",1679.92
"Microspingus lateralis",-45.5922,-22.738658,"OBS124087693","São Paulo","north","Campos do Jordão",1690.37
"Microspingus lateralis",-45.59493,-22.74241,"OBS332305495","São Paulo","north","Campos do Jordão city",1697.63
"Tangara desmaresti",-45.59493,-22.74241,"OBS332305494","São Paulo","north","Campos do Jordão city",1699.5
"Piprites pileata",-46.130374,-22.745373,2090446,"Minas Gerais","north","NA",1080.15
"Chamaeza ruficauda",-44.75,-22.75,143845,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1764.64
"Drymophila rubricollis",-44.75,-22.75,143862,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1764.84
"Dysithamnus xanthopterus",-44.75,-22.75,143844,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1764.64
"Elaenia mesoleuca",-44.75,-22.75,143848,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1765.99
"Hemitriccus obsoletus",-44.75,-22.75,143843,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1764.84
"Phylloscartes difficilis",-46.13,-22.75,"NA","NA","north","Brazil:Minas Gerais, Camanducaia, Taperinha",1080.03
"Piprites pileata",-44.75,-22.75,143860,"São Paulo","north","Serra da Bocaina, Vale do Rio Vermelho",1764.64
"Stephanoxis lalandi",-46.13,-22.75,"NA","NA","north","Brazil:Minas Gerais, Camanducaia, Taperinha",1080.03
"Microspingus lateralis",-45.551067,-22.757612,"OBS374314168","São Paulo","north","Campos do Jordão - Pico do Itapeva",1761.16
"Stephanoxis lalandi",-45.551067,-22.757612,"OBS373111912","São Paulo","north","Campos do Jordão - Pico do Itapeva",1792.02
"Syndactyla rufosuperciliata",-45.551067,-22.757612,"OBS374314166","São Paulo","north","Campos do Jordão - Pico do Itapeva",1780.06
"Chamaeza ruficauda",-45.583804,-22.761382,"OBS446568689","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1699.16
"Dysithamnus xanthopterus",-45.583804,-22.761382,"OBS446568842","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1699.16
"Elaenia mesoleuca",-45.583804,-22.761382,"OBS447725350","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1746.66
"Heliobletus contaminatus",-45.583804,-22.761382,"OBS446568704","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1727.78
"Lepidocolaptes falcinellus",-45.583804,-22.761382,"OBS446568844","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1781.19
"Mackenziaena leachii",-45.583804,-22.761382,"OBS446568697","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1727.78
"Microspingus lateralis",-45.583804,-22.761382,"OBS446568725","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1710.94
"Muscipipra vetula",-45.583804,-22.761382,"OBS447725360","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1710.94
"Phylloscartes difficilis",-45.583804,-22.761382,"OBS446568715","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1699.5
"Piculus aurulentus",-45.583804,-22.761382,"OBS446568720","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1727.78
"Piprites pileata",-45.583804,-22.761382,"OBS446568723","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1699.16
"Saltator maxillosus",-45.583804,-22.761382,"OBS446568730","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1699.16
"Synallaxis cinerascens",-45.583804,-22.761382,"OBS447725388","São Paulo","north","Campos do Jordão--Colônia do Mackenzie",1710.94
"Heliobletus contaminatus",-45.522623,-22.766724,"OBS356658637","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1551.01
"Lepidocolaptes falcinellus",-45.522623,-22.766724,"OBS356658656","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1782.52
"Microspingus lateralis",-45.522623,-22.766724,"OBS356658655","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1679.9
"Muscipipra vetula",-45.522623,-22.766724,"OBS363345842","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1679.9
"Piprites pileata",-45.522623,-22.766724,"OBS363345840","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1629.17
"Stephanoxis lalandi",-45.522623,-22.766724,"OBS337983944","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1611.81
"Tangara desmaresti",-45.522623,-22.766724,"OBS356658648","São Paulo","north","Pindamonhangaba--Pico do Itapeva",1611.81
"Microspingus lateralis",-45.522679,-22.766827,"OBS387884364","São Paulo","north","Pico Itapeva",1679.9
"Stephanophorus diadematus",-45.522679,-22.766827,"OBS387870586","São Paulo","north","Pico Itapeva",1624.02
"Stephanoxis lalandi",-45.522679,-22.766827,"OBS387884367","São Paulo","north","Pico Itapeva",1611.81
