"Supplementary_Data_3: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,,,
"Species","longitude","latitude","state","locality","year","month","identifier","seasson","Elevation"
"Cacicus chrysopterus",-54.27272,-25.673607,"Misiones","Ruta Nacional 101, Misiónes, AR (-25,674, -54,273)",2017,9,"OBS530282111","spri",257.79
"Cacicus chrysopterus",-54.455452,-25.683303,"Misiones","PN Iguazú Área Cataratas",2018,8,"OBS652439378","wint",191.3
"Cacicus chrysopterus",-54.325504,-25.693436,"Misiones","PN Iguazú--Ruta 101",2017,8,"OBS525215236","wint",246.57
"Cacicus chrysopterus",-49.182511,-25.709285,"Paraná","Stud Don Juan",2018,2,"OBS574190485","sum",939.29
"Cacicus chrysopterus",-54.441333,-25.714481,"Misiones","PN Iguazú--Sendero Ñandú",2017,8,"OBS525216177","wint",229.37
"Cacicus chrysopterus",-49.103512,-25.733764,"Paraná","Guaricana",2018,4,"OBS601402098","fall",1018.79
"Cacicus chrysopterus",-58.099126,-25.753972,"Formosa","(-25,754, -58,099)",2018,2,"OBS653599221","sum",69.14
"Cacicus chrysopterus",-58.037222,-25.781389,"Formosa","montelindo grande 2",2017,1,"OBS461911474","sum",67.67
"Cacicus chrysopterus",-59.140627,-25.784551,"Formosa","pirane",2016,1,"OBS439924677","sum",85
"Cacicus chrysopterus",-58.021697,-25.78769,"Formosa","Riacho Monte Lindo R11",2018,2,"OBS580971748","sum",67.43
"Cacicus chrysopterus",-59.899,-25.8113,"Chaco","Defensa",2016,8,"OBS426597177","wint",102.33
"Cacicus chrysopterus",-58.02079,-25.811338,"Formosa","Unnamed Road, Formosa, AR (-25,811, -58,021)",2018,1,"OBS564495478","sum",66.46
"Cacicus chrysopterus",-57.99685,-25.81434,"Formosa","Unnamed Road, Formosa, AR (-25,814, -57,997)",2017,9,"OBS547272319","spri",66.71
"Cacicus chrysopterus",-57.999265,-25.816596,"Formosa","la emilia",2017,7,"OBS522190114","wint",66.81
"Cacicus chrysopterus",-57.998166,-25.817788,"Formosa","Unnamed Road, Formosa, AR (-25,818, -57,998)",2017,9,"OBS547272220","spri",66.81
"Cacicus chrysopterus",-54.58482,-25.830025,"Misiones","Reserva Salto Jasy",2018,10,"OBS672324016","spri",180.38
"Cacicus chrysopterus",-58.002028,-25.830135,"Formosa","Unnamed Road, Formosa, AR (-25,83, -58,002)",2017,10,"OBS547271990","spri",65.63
"Cacicus chrysopterus",-49.065092,-25.850148,"Paraná","Sítio Maoki - Vossoroca, Tijucas do Sul, PR",2017,4,"OBS481330312","fall",880.44
"Cacicus chrysopterus",-57.905489,-25.855981,"Formosa","Colonia Dalmacia",2018,4,"OBS602333454","fall",59.89
"Cacicus chrysopterus",-53.975986,-25.857299,"Misiones","San Sebastián de la Selva (AICA MI04)",2018,3,"OBS589376955","fall",394.88
"Cacicus chrysopterus",-54.168783,-25.857317,"Misiones","PP Urugua-í Seccional Uruzú",2018,6,"OBS629389959","wint",310.51
"Cacicus chrysopterus",-54.168803,-25.857685,"Misiones","Ruta Provincial 19, Misiónes, AR (-25,858, -54,169)",2018,10,"OBS664047347","spri",310.51
"Cacicus chrysopterus",-53.959458,-25.859822,"Misiones","Bio Reserva Karadya (AICA MI04)",2017,11,"OBS551419930","spri",394.32
"Cacicus chrysopterus",-53.972547,-25.870007,"Misiones","RN Mainumby",2016,5,"OBS400314217","fall",429.37
"Cacicus chrysopterus",-51.598353,-25.904399,"Paraná","Faxinal do Céu",2016,7,"OBS417441161","wint",1135.6
"Cacicus chrysopterus",-49.463131,-25.918102,"Paraná","Pangaré",2017,7,"OBS516733803","wint",830.34
"Cacicus chrysopterus",-58.2185,-25.932,"Formosa","Ea. Guaycolec (Acceso restringido) (AICA FO08)",2018,2,"OBS580765014","sum",70.56
"Cacicus chrysopterus",-54.305462,-25.936396,"Misiones","Arroyo Falso RP19",2016,2,"OBS402184050","sum",233.63
"Cacicus chrysopterus",-49.260864,-25.943551,"Paraná","Faz. Campina - Triângulo",2017,3,"OBS478857332","fall",941.09
"Cacicus chrysopterus",-49.261481,-25.955693,"Paraná","Tijucas do Sul - Trilha Serra Lagoinha",2017,3,"OBS478879440","fall",986.32
"Cacicus chrysopterus",-58.164357,-25.983181,"Formosa","Ruta Nacional 11, Formosa, AR (-25,983, -58,164)",2018,7,"OBS642099297","wint",68.62
"Cacicus chrysopterus",-58.162482,-25.983183,"Formosa","Ruta Nacional 11, Formosa, AR (-25,983, -58,162)",2017,10,"OBS545003563","spri",68.62
"Cacicus chrysopterus",-58.164904,-25.983219,"Formosa","Reserva Guaycolec (AICA FO08)",2018,2,"OBS667088830","sum",68.02
"Cacicus chrysopterus",-58.164839,-25.984821,"Formosa","Guaycolek",2018,11,"OBS674403585","spri",68.02
"Cacicus chrysopterus",-58.160115,-25.985098,"Formosa","selva en galería, cerca de Capilla del Monte",2018,5,"OBS612934819","fall",68.02
"Cacicus chrysopterus",-58.149271,-25.98602,"Formosa","Kayak Riacho Pilagá Tramo 1",2017,1,"OBS457609127","sum",68.21
"Cacicus chrysopterus",-58.170737,-25.987653,"Formosa","Estancia Guaycolec",2017,9,"OBS530940873","spri",68.02
"Cacicus chrysopterus",-58.02429,-26.00084,"Formosa","Cañada 12",2018,7,"OBS647075214","wint",63.83
"Cacicus chrysopterus",-58.022522,-26.003343,"Formosa","AR-Formosa-Ruta Provincial 6 - -26,003x-58,023 - 21 jul. 2017 20:32",2017,7,"OBS520250478","wint",64.63
"Cacicus chrysopterus",-58.02207,-26.00433,"Formosa","Cañada 12",2017,7,"OBS517168386","wint",64.63
"Cacicus chrysopterus",-58.035764,-26.013532,"Formosa","Mojon de fierro",2016,7,"OBS420114333","wint",64.63
"Cacicus chrysopterus",-54.616546,-26.014961,"Misiones","AR-Misiónes - -26.015x-54.617 - 22 oct. 2016 12:13",2016,10,"OBS437768016","spri",210.13
"Cacicus chrysopterus",-54.610934,-26.016102,"Misiones","Parque Recreativo de Salud y alrededores, Puerto Esperanza",2017,10,"OBS545080794","spri",210.13
"Cacicus chrysopterus",-51.354175,-26.019072,"Paraná","Cruz Machado",2016,6,"OBS412451693","wint",892.1
"Cacicus chrysopterus",-58.040928,-26.019216,"Formosa","Ruta Provincial N° 6",2017,11,"OBS553454020","spri",64.63
"Cacicus chrysopterus",-54.41131,-26.03155,"Misiones","PP Esperanza y Aguaray-mí",2016,10,"OBS433800289","spri",304.62
"Cacicus chrysopterus",-51.414342,-26.031913,"Paraná","Ramal Iracema,  Cruz Machado",2016,8,"OBS421872178","wint",841.03
"Cacicus chrysopterus",-58.053192,-26.03339,"Formosa","Mojón de Fierro",2018,7,"OBS641936196","wint",62.52
"Cacicus chrysopterus",-51.394297,-26.033771,"Paraná","Cruz Machado",2016,7,"OBS418184707","wint",837.73
"Cacicus chrysopterus",-58.044155,-26.035867,"Formosa","de Mojón a Boca Pilagá",2018,6,"OBS631289698","wint",62.52
"Cacicus chrysopterus",-59.938666,-26.04303,"Chaco","Pampa del Indio, Chaco, AR (-26.043, -59.939)",2018,10,"OBS672140587","spri",93.92
"Cacicus chrysopterus",-51.321924,-26.047549,"Paraná","proximidades do Monumento Irmã Ambrósia,  Cruz Machado",2016,6,"OBS413752605","wint",884.4
"Cacicus chrysopterus",-57.935691,-26.059148,"Ñeembucú","Zanjita",2016,9,"OBS432632685","spri",57.64
"Cacicus chrysopterus",-55.157481,-26.062623,"Alto Paraná","Doctor Juan León Mallorquín, Departamento de Alto Paraná, PY (-26.063, -55.157)",2018,2,"OBS575641635","sum",232.12
"Cacicus chrysopterus",-56.848324,-26.076848,"Paraguarí","(-26,0768,-56,8483)",2017,9,"OBS533591150","spri",267.7
"Cacicus chrysopterus",-56.8,-26.08,"Paraguarí","Parque Nacional Ybycui, Dpto. Paraguari",2018,1,"OBS569971400","sum",236.43
"Cacicus chrysopterus",-56.833266,-26.083537,"Paraguarí","Parque Nacional de Ybycui",2017,8,"OBS528423566","wint",194.56
"Cacicus chrysopterus",-56.839358,-26.094144,"Paraguarí","PY-Paraguarí-Sendero a La Rosada (-26.0941,-56.8394)",2018,5,"OBS621150541","fall",194.56
"Cacicus chrysopterus",-56.838868,-26.095604,"Paraguarí","Parque Nacional Ybycui",2018,2,"OBS582739917","sum",194.56
"Cacicus chrysopterus",-58.259191,-26.09929,"Formosa","Campo de chiqui",2017,1,"OBS464269517","sum",64.2
"Cacicus chrysopterus",-58.14312,-26.12918,"Formosa","Ruta Provincial N° 6",2017,12,"OBS557597762","sum",61.61
"Cacicus chrysopterus",-58.72323,-26.1438,"Formosa","Colonia Ituzaingó",2017,7,"OBS515566916","wint",72.68
"Cacicus chrysopterus",-58.674355,-26.163501,"Formosa","Ruta Provincial 5, Formosa, AR (-26,164, -58,674)",2017,12,"OBS561070043","sum",72.27
"Cacicus chrysopterus",-58.970667,-26.16666,"Formosa","Paraje La Esperanza",2018,10,"OBS669023236","spri",78.07
"Cacicus chrysopterus",-58.192398,-26.167779,"Formosa","Casa",2018,9,"OBS653475531","spri",62.68
"Cacicus chrysopterus",-58.146011,-26.172847,"Formosa","Formosa--Paseo Costanero",2018,4,"OBS607081782","fall",56.9
"Cacicus chrysopterus",-58.855141,-26.186782,"Formosa","NA",2017,9,"21744540","spri",75.68
"Cacicus chrysopterus",-59.312568,-26.193413,"Formosa","Lote 20. Establecimiento La Arboleda. Jurisdicción Villa Dos Tre",2016,9,"OBS431329376","spri",84.7
"Cacicus chrysopterus",-58.169303,-26.201267,"Formosa","Camino a Laguna Oca, Formosa, Formosa, AR (-26,201, -58,169)",2018,7,"OBS643528084","wint",57.79
"Cacicus chrysopterus",-58.169432,-26.201381,"Formosa","Camino a Laguna Oca, Formosa, Formosa, AR (-26,201, -58,169)",2018,7,"OBS643524666","wint",57.79
"Cacicus chrysopterus",-58.169206,-26.201458,"Formosa","Camino a Laguna Oca, Formosa, Formosa, AR (-26,201, -58,169)",2018,7,"OBS643214727","wint",57.79
"Cacicus chrysopterus",-58.147126,-26.201619,"Formosa","Barrera contención Rio Paraguay",2018,6,"OBS653850660","wint",56.21
"Cacicus chrysopterus",-58.172064,-26.205111,"Formosa","Camino a Laguna Oca, Formosa, Formosa, AR (-26,205, -58,172)",2018,7,"OBS644792609","wint",57.79
"Cacicus chrysopterus",-58.228376,-26.205293,"Formosa","Formosa",2018,8,"OBS651714962","wint",62.83
"Cacicus chrysopterus",-58.218901,-26.208706,"Formosa","Cabaña Punta Verde, Formosa, Formosa, AR (-26,209, -58,219)",2018,2,"OBS577105640","sum",62.83
"Cacicus chrysopterus",-58.174773,-26.210501,"Formosa","(-26,211, -58,175)",2018,7,"OBS644804495","wint",59.43
"Cacicus chrysopterus",-58.227788,-26.212203,"Formosa","AR - Aeropuerto Formosa",2018,7,"OBS643838061","wint",62.83
"Cacicus chrysopterus",-58.179083,-26.215973,"Formosa","Camino a Laguna Oca, Formosa, AR (-26,216, -58,179)",2018,6,"OBS635100165","wint",59.43
"Cacicus chrysopterus",-58.177049,-26.21615,"Formosa","Camino a Laguna Oca",2018,10,"OBS669260294","spri",59.43
"Cacicus chrysopterus",-58.182573,-26.217538,"Formosa","Camino a Laguna Oca, Formosa, AR (-26,218, -58,183)",2018,7,"OBS642579459","wint",59.43
"Cacicus chrysopterus",-50.305263,-26.218954,"Paraná","Floresta Nacional de Três Barras",2016,2,"OBS376762322","sum",782.66
"Cacicus chrysopterus",-58.173358,-26.219153,"Formosa","Reserva de Biósfera Laguna Oca (AICA FO02)",2018,3,"OBS589289639","fall",56.06
"Cacicus chrysopterus",-58.177847,-26.219891,"Formosa","Laguna Oca",2018,8,"OBS654164055","wint",56.29
"Cacicus chrysopterus",-58.7017,-26.22227,"Formosa","Cnia. Rincón Ñandú",2018,12,"OBS688207481","sum",69.4
"Cacicus chrysopterus",-57.284167,-26.223167,"Paraguarí","Estancia Guajho",2017,2,"OBS464177708","sum",142.79
"Cacicus chrysopterus",-58.202556,-26.223916,"Formosa","AR-Formosa (-26,2239,-58,2026)",2018,12,"OBS686823686","sum",58.96
"Cacicus chrysopterus",-49.097407,-26.224716,"Santa Catarina","Estrada do Rio do Julio",2018,10,"OBS664656639","spri",753.77
"Cacicus chrysopterus",-55.766667,-26.233333,"Caazapá","Tapyta, Caazapá (Paraguay Central)",2017,7,"OBS518525970","wint",176.4
"Cacicus chrysopterus",-58.199874,-26.235406,"Formosa","Laguna Oca",2018,8,"OBS649151021","wint",58.96
"Cacicus chrysopterus",-58.640045,-26.236165,"Formosa","AR-Formosa - -26,236x-58,64 - 29 jun. 2017 16:20",2017,6,"OBS514917216","wint",70.03
"Cacicus chrysopterus",-58.627515,-26.238254,"Formosa","Mision San Francisco de Laishi",2017,6,"OBS515230876","wint",69.34
"Cacicus chrysopterus",-58.627465,-26.244718,"Formosa","Misión Laishi",2018,7,"OBS637957390","wint",69.34
"Cacicus chrysopterus",-58.62748,-26.244736,"Formosa","Mision San Francisco de Laishi, Formosa, AR (-26,245, -58,627)",2017,8,"OBS527002701","wint",69.34
"Cacicus chrysopterus",-58.627476,-26.244744,"Formosa","AR-Formosa-Mision San Francisco de Laishi - -26,245x-58,627 - 13 may. 2017 7:15",2017,7,"OBS517511563","wint",69.34
"Cacicus chrysopterus",-58.627401,-26.244759,"Formosa","AR-Formosa-Mision San Francisco de Laishi - -26,245x-58,627 - 13 jul. 2017 8:05",2017,7,"OBS518237447","wint",69.34
"Cacicus chrysopterus",-58.836,-26.247333,"Formosa","Ea. & Reserva El Bagual (AICA FO03)",2018,5,"OBS613532502","fall",73.32
"Cacicus chrysopterus",-58.624256,-26.24922,"Formosa","Misión Laishí",2017,10,"OBS545683247","spri",69.34
"Cacicus chrysopterus",-49.166683,-26.271155,"Santa Catarina","Jaraguá do Sul -- Rio Manso",2017,3,"OBS475375874","fall",781.55
"Cacicus chrysopterus",-59.968159,-26.277028,"Chaco","Ruta Provincial 4, Chaco, AR (-26.277, -59.968)",2017,12,"OBS565779678","sum",99.15
"Cacicus chrysopterus",-59.968356,-26.27725,"Chaco","PP Pampa del Indio campground and trail",2016,4,"OBS396645136","fall",97.81
"Cacicus chrysopterus",-58.23285,-26.282812,"Formosa","Camino a Tres Marías",2018,10,"OBS664237824","spri",60.9
"Cacicus chrysopterus",-58.526617,-26.293064,"Formosa","Cnia. El Esterito",2017,6,"OBS507611702","wint",67.62
"Cacicus chrysopterus",-58.191962,-26.2938,"Formosa","Riacho Pikisiry",2016,7,"OBS419367272","wint",57.3
"Cacicus chrysopterus",-58.314561,-26.297509,"Formosa","Machado Cué ",2016,2,"OBS376909884","sum",63.36
"Cacicus chrysopterus",-49.535435,-26.297513,"Santa Catarina","Fazenda Evaristo, Rio Negrinho ",2017,1,"OBS458102502","sum",872.93
"Cacicus chrysopterus",-49.207405,-26.29793,"Santa Catarina","São Bento do Sul--COMFLORESTA",2017,3,"OBS477111947","fall",998.39
"Cacicus chrysopterus",-49.182108,-26.301543,"Santa Catarina","BR-SC-Jaraguá do Sul - -26,3015x-49,1821 - 19/03/2017 19:03",2017,3,"OBS476791419","fall",907.6
"Cacicus chrysopterus",-53.285966,-26.304957,"Santa Catarina","Palma Sola - Fazenda Pazini",2018,1,"OBS568361373","sum",872.17
"Cacicus chrysopterus",-58.212533,-26.306162,"Formosa","Unnamed Road, Formosa, AR (-26,306, -58,213)",2018,12,"OBS687072457","sum",60.13
"Cacicus chrysopterus",-53.303647,-26.31519,"Santa Catarina","Palma Sola - Fazenda Perim",2016,1,"OBS417142936","sum",855.13
"Cacicus chrysopterus",-58.210732,-26.31783,"Formosa","camino a aquino",2017,7,"OBS519959692","wint",59.97
"Cacicus chrysopterus",-49.304795,-26.324999,"Santa Catarina","São Bento do Sul - CEPA Rugendas",2016,10,"OBS433943528","spri",523.37
"Cacicus chrysopterus",-58.222164,-26.343422,"Formosa","Establecimiento Los Picazos (AICA FO02)",2018,2,"OBS581068892","sum",59.84
"Cacicus chrysopterus",-53.275189,-26.350421,"Santa Catarina","Palma Sola - Parque Municipal",2016,1,"OBS417139079","sum",854.02
"Cacicus chrysopterus",-53.259637,-26.357958,"Santa Catarina","Palma Sola--Pasta",2018,1,"OBS568360346","sum",868.49
"Cacicus chrysopterus",-58.329093,-26.363542,"Formosa","Localidad desconocida - (-26,364, -58,329)",2018,2,"OBS579480757","sum",62.91
"Cacicus chrysopterus",-54.657733,-26.373429,"Misiones","Cueva Miní",2017,1,"OBS457011454","sum",165.99
"Cacicus chrysopterus",-58.212401,-26.375338,"Formosa","Puerto Aquino (AICA FO02)",2018,6,"OBS634013715","wint",55.39
"Cacicus chrysopterus",-58.327441,-26.386317,"Formosa","Unnamed Road, Formosa, AR (-26.386, -58.32). EaDL",2018,4,"OBS607691905","fall",62.85
"Cacicus chrysopterus",-52.406115,-26.39087,"Paraná","Clevelândia--Sítio Santo Antônio",2018,5,"OBS617232219","fall",941.16
"Cacicus chrysopterus",-58.368688,-26.39137,"Formosa","Posta del Salado",2018,3,"OBS583836182","fall",62.09
"Cacicus chrysopterus",-58.368524,-26.391495,"Formosa","Tio Jorge",2018,2,"OBS579841675","sum",62.09
"Cacicus chrysopterus",-58.324725,-26.391977,"Formosa","Campo De Brigada",2018,3,"OBS587292958","fall",62.85
"Cacicus chrysopterus",-58.369814,-26.393503,"Formosa","tatane",2016,1,"OBS400592164","sum",62.09
"Cacicus chrysopterus",-58.299074,-26.394551,"Formosa","estancia don luis",2018,1,"OBS563829721","sum",62.42
"Cacicus chrysopterus",-58.374542,-26.3979,"Formosa","Ruta Provincial 1, Formosa, AR (-26,398, -58,375)",2018,2,"OBS579478514","sum",63
"Cacicus chrysopterus",-54.627382,-26.398256,"Misiones","Eldorado",2017,5,"OBS500437378","fall",220.6
"Cacicus chrysopterus",-54.595077,-26.40098,"Misiones","Parque Santos Biloni",2016,10,"OBS438386125","spri",217.5
"Cacicus chrysopterus",-54.612786,-26.405144,"Misiones","Eldorado ",2016,5,"OBS404320164","fall",220.6
"Cacicus chrysopterus",-54.610462,-26.409398,"Misiones","Eldorado",2018,5,"OBS614225169","fall",220.6
"Cacicus chrysopterus",-54.569714,-26.410282,"Misiones","Cuenca Arroyo Faubel, Eldorado",2017,5,"OBS500423455","fall",212.95
"Cacicus chrysopterus",-58.252748,-26.410502,"Formosa","Unnamed Road, Formosa, AR (-26,411, -58,253)",2017,9,"OBS530704795","spri",56.62
"Cacicus chrysopterus",-53.8405,-26.425583,"Misiones","PP Piñalito y alrededores (AICA MI14)",2018,4,"OBS636212816","fall",710.47
"Cacicus chrysopterus",-55.8,-26.43,"Itapúa","Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)",2018,1,"OBS570865798","sum",144.71
"Cacicus chrysopterus",-58.243557,-26.434055,"Formosa","La T",2018,8,"OBS648899746","wint",55.63
"Cacicus chrysopterus",-58.263974,-26.437915,"Formosa","Riacho Corta Pick",2018,4,"OBS606078266","fall",56.57
"Cacicus chrysopterus",-58.267193,-26.452823,"Formosa","Riacho Cortapick",2018,5,"OBS618274922","fall",56.57
"Cacicus chrysopterus",-58.268352,-26.453822,"Formosa","Corta Pick",2018,4,"OBS604193374","fall",56.7
"Cacicus chrysopterus",-58.275089,-26.462659,"Formosa","Riacho Cortapick",2018,5,"OBS618274857","fall",56.7
"Cacicus chrysopterus",-53.966668,-26.466664,"Misiones","Parque provincial Cruce Caballero",2017,8,"OBS525725001","wint",561.16
"Cacicus chrysopterus",-58.308327,-26.480667,"Formosa","Avenida Independencia, Formosa, AR (-26.481, -58.308)",2018,9,"OBS661614435","spri",60.5
"Cacicus chrysopterus",-58.241321,-26.486543,"Formosa","Ruta Alberdi - Pilar, Departamento de Ñeembucú, PY (-26,487, -58,241)",2017,9,"OBS530936830","spri",55.93
"Cacicus chrysopterus",-58.244438,-26.487312,"Formosa","Cortapick",2018,7,"OBS643526967","wint",55.93
"Cacicus chrysopterus",-55.69132,-26.4874,"Itapúa","San Rafael NP",2017,1,"OBS566282115","sum",251.04
"Cacicus chrysopterus",-58.491081,-26.501724,"Formosa","AR-Formosa - -26,502x-58,491 - 17 jul. 2017 19:35",2017,7,"OBS591912315","wint",64.38
"Cacicus chrysopterus",-51.670697,-26.502723,"Paraná","Palmas--Fazenda Cerro Chato",2017,7,"OBS683377000","wint",1226.39
"Cacicus chrysopterus",-58.484428,-26.507603,"Formosa","Yatay",2018,4,"OBS594564593","fall",64.38
"Cacicus chrysopterus",-55.788896,-26.511976,"Itapúa","Camino a Kanguery, Departamento de Itapúa, PY (-26,512, -55,789)",2018,8,"OBS648835318","wint",149.85
"Cacicus chrysopterus",-55.788958,-26.511977,"Itapúa","Camino a Kanguery, Departamento de Itapúa, PY (-26,512, -55,789)",2018,8,"OBS648832022","wint",149.85
"Cacicus chrysopterus",-51.986318,-26.512746,"Paraná","IFPR--Campus Palmas",2018,5,"OBS615254148","fall",1086.32
"Cacicus chrysopterus",-51.77953,-26.513438,"Paraná","Palmas--Fazenda São Geraldo",2018,7,"OBS638710471","wint",1212.16
"Cacicus chrysopterus",-55.766833,-26.516,"Itapúa","Reserva Guyra Reta",2018,8,"OBS648832652","wint",166.16
"Cacicus chrysopterus",-58.283333,-26.516667,"Formosa","Herradura (AICA FO02)",2018,7,"OBS638948879","wint",55.32
"Cacicus chrysopterus",-56.866667,-26.516667,"Paraguarí","Estancia La Graciela, Dpto. Misiones (Ñeembucú)",2018,5,"OBS611874048","fall",71.49
"Cacicus chrysopterus",-53.981667,-26.520717,"Misiones","PP Cruce Caballero",2018,1,"OBS578130805","sum",600.34
"Cacicus chrysopterus",-58.228781,-26.524583,"Formosa","Prefectura",2018,3,"OBS588597500","fall",53.88
"Cacicus chrysopterus",-58.26494,-26.533142,"Formosa","Unnamed Road, Formosa, AR (-26,533, -58,265)",2018,1,"OBS572602316","sum",56.8
"Cacicus chrysopterus",-58.230012,-26.535971,"Formosa","Callejón  (Herradura)",2018,6,"OBS633880580","wint",54.21
"Cacicus chrysopterus",-51.606957,-26.536896,"Paraná","Refúgio de Vida Silvestre dos Campos de Palmas",2018,12,"OBS684454313","sum",1267.11
"Cacicus chrysopterus",-58.228117,-26.539593,"Formosa","Prefectura Cue",2018,3,"OBS588595376","fall",54.21
"Cacicus chrysopterus",-53.9625,-26.541667,"Misiones","A 6 km de Cruce Caballero",2016,6,"OBS412646842","wint",631.68
"Cacicus chrysopterus",-58.504323,-26.542208,"Formosa","Camino A Payagua",2018,3,"OBS595044901","fall",62
"Cacicus chrysopterus",-58.503964,-26.542533,"Formosa","Camino Payaguá",2018,4,"OBS607923722","fall",62
"Cacicus chrysopterus",-58.493181,-26.548373,"Formosa","Camino A Payagua",2018,3,"OBS589427213","fall",62
"Cacicus chrysopterus",-49.376249,-26.551526,"Santa Catarina","Rio dos Cedros -- Cachoeira Formosa",2016,9,"OBS428935117","spri",788.96
"Cacicus chrysopterus",-53.897072,-26.556791,"Misiones","Forestal Belga",2018,8,"OBS653234909","wint",620.62
"Cacicus chrysopterus",-54.066244,-26.560324,"Misiones","Ruta Provincial 20",2017,11,"OBS551526167","spri",587.17
"Cacicus chrysopterus",-51.895997,-26.56428,"Paraná","Palmas--Estância Guamirim",2018,7,"OBS639729687","wint",1197.6
"Cacicus chrysopterus",-49.364576,-26.571045,"Santa Catarina","(-26,571, -49,365)",2018,7,"OBS643261578","wint",737.14
"Cacicus chrysopterus",-58.463273,-26.572408,"Formosa","Camino a Payaguá 3",2018,5,"OBS612615200","fall",61.63
"Cacicus chrysopterus",-49.333688,-26.591022,"Santa Catarina","Rio dos Cedros -- Recanto Bonito por Natureza",2016,5,"OBS421697659","fall",718.01
"Cacicus chrysopterus",-58.438296,-26.592288,"Formosa","Camino a Payaguá",2018,3,"OBS590639084","fall",61.95
"Cacicus chrysopterus",-58.572492,-26.597386,"Formosa","Camino A Payagua",2018,3,"OBS587292470","fall",60.59
"Cacicus chrysopterus",-54.122531,-26.624672,"Misiones","San Pedro",2016,5,"OBS403797755","fall",570.27
"Cacicus chrysopterus",-54.104444,-26.627778,"Misiones","Parque Provincial de la Araucaria",2016,6,"OBS412644023","wint",570.27
"Cacicus chrysopterus",-54.124994,-26.627993,"Misiones","San Pedro, pond near bus terminal",2018,12,"OBS685331598","sum",570.27
"Cacicus chrysopterus",-53.894281,-26.630179,"Misiones","Puente Arroyo Yabotí, RP27",2017,11,"OBS551526040","spri",532.45
"Cacicus chrysopterus",-54.10235,-26.630361,"Misiones","San Pedro and Araucaria Provincial Park",2016,7,"OBS419705307","wint",552.3
"Cacicus chrysopterus",-54.102167,-26.632333,"Misiones","PP Araucaria (AICA MI12)",2018,6,"OBS631622054","wint",552.3
"Cacicus chrysopterus",-55.663948,-26.637764,"Itapúa","Estancias Nueva Gambach",2018,1,"OBS565804909","sum",281.98
"Cacicus chrysopterus",-49.5239,-26.652637,"Santa Catarina","Trilha do macaco",2018,7,"OBS639277593","wint",727.05
"Cacicus chrysopterus",-52.432433,-26.672484,"Santa Catarina","Ipuaçu - Aldeia Indígena Caigang",2018,5,"OBS617276410","fall",739
"Cacicus chrysopterus",-59.037984,-26.68108,"Chaco","La Quelita ",2016,5,"OBS408888134","fall",71.61
"Cacicus chrysopterus",-54.2645,-26.689778,"Misiones","Reserva Privada Yaguaroundi (AICA MI13)",2018,3,"OBS596382541","fall",471.15
"Cacicus chrysopterus",-49.6771,-26.7134,"south","Doutor Pedrinho- Reserva Biológica Estadual do Sassafrás – REBIO- SC",,,"FURB13447",,
"Cacicus chrysopterus",-59.200988,-26.727827,"Chaco","Ruta 90 entre empalme Ruta 11 y empalme Ruta 3",2016,9,"OBS431554520","spri",72.04
"Cacicus chrysopterus",-58.01438,-26.74019,"Ñeembucú","Ruta Tacuaras - San Juan Bautista de Neembucu, Transecto5 Punto10",2018,3,"OBS594578871","fall",61
"Cacicus chrysopterus",-51.430821,-26.74302,"Santa Catarina","Macieira--Cabanha Guamirim",2018,1,"OBS572091318","sum",1287.93
"Cacicus chrysopterus",-58.01273,-26.74491,"Ñeembucú","Ruta Tacuaras - San Juan Bautista de Neembucu, Transecto5 Punto9",2018,5,"OBS614738090","fall",61
"Cacicus chrysopterus",-51.0789,-26.755,"south","Caçador- Linha São Francisco- SC",,,"MPEGT14970",,
"Cacicus chrysopterus",-58.742158,-26.770403,"Chaco","Estancia El Paraiso",2016,12,"OBS455007982","sum",63.94
"Cacicus chrysopterus",-59.593671,-26.787094,"Chaco","NA",2016,9,"5558002","spri",78.87
"Cacicus chrysopterus",-58.964139,-26.790054,"Chaco","puente sobre rio de oro",2016,5,"OBS505235311","fall",67.55
"Cacicus chrysopterus",-59.618404,-26.793218,"Chaco","Parque Nacional Chaco",2018,7,"OBS663288530","wint",81.06
"Cacicus chrysopterus",-59.618393,-26.79322,"Chaco","NA",2017,4,"18743015","fall",81.06
"Cacicus chrysopterus",-58.905782,-26.794474,"Chaco","NA",2019,7,"29074568","wint",67.49
"Cacicus chrysopterus",-59.611702,-26.794802,"Chaco","NA",2016,9,"20510005","spri",81.06
"Cacicus chrysopterus",-59.6056,-26.7966,"NA","Parque Nacional Chaco, Chaco",2016,11,"364393@XC","spri",81.06
"Cacicus chrysopterus",-59.593673,-26.798123,"Chaco","NA",2016,9,"5558457","spri",78.87
"Cacicus chrysopterus",-59.584856,-26.804444,"Chaco","Chaco NP--entrance area",2018,1,"OBS571099306","sum",78.87
"Cacicus chrysopterus",-59.607303,-26.805786,"Chaco","Parque Nacional Chaco, camp ground and hanging bridge trail",2016,4,"OBS396356456","fall",81.06
